username,total_score,categ1,categ2,categ3,categ4,articles1,articles2,articles3,articles4,articles5,articles6,articles7,articles8,articles9,articles10
90,656.0,Government,Culture,Law,Religion,"['North Carolina', 19]","['Ron Paul', 18]","['Raleigh, North Carolina', 17]","['Krispy Kreme', 12]","['Roe v. Wade', 11]","['Wilmington, North Carolina', 11]","['United States anti-abortion movement', 10]","['Charlotte, North Carolina', 10]","['Samson', 10]","['Bob Jones University', 9]"
95j,610.0,Entertainment,Internet,Sports,Media,"['Uffie', 8]","['20Ten', 4]","['Banbridge Academy', 4]","['Kongregate', 4]","['Marcin Szyszkowski', 4]","['NBA Street Vol. 2', 4]","['List of iCarly characters', 3]","['Sonic the Hedgehog (2006 video game)', 3]","['Vespoli', 3]","['The Amazing Race 16', 3]"
99of9,820.0,Nature,Religion,Geography,Culture,"[""St John's, Ashfield"", 640]","['Redback spider', 373]","['Ionic compound', 344]","['Aleeta', 187]","['Angie Ballard', 170]","['Lord Howe Island', 163]","['Jesus', 135]","['2000 Summer Paralympics medal table', 98]","['Garrison Church, Sydney', 83]","['List of cicadas of Australia', 71]"
9cds,739.0,Mass media,Education,Geography,Entertainment,"['Big Brother (British TV series) series 7', 301]","['Big Brother (Australian TV series) season 6', 61]","['Lancaster University', 49]","['Quizmania', 46]","['Top Gear (2002 TV series)', 42]","['Nickelodeon', 30]","['Big Brother 2006 nominations table (UK)', 30]","['Big Brother (British TV series)', 29]","['Big Brother (British TV series) series 6', 28]","['Channel 4', 23]"
@pple,746.0,Government,People,Arts,Military,"['Central Intelligence Agency', 122]","['Lindsay Moran', 46]","['George Tenet', 29]","['National Security Agency', 28]","['Cate Blanchett', 23]","['List of intelligence agencies', 23]","['Drug Enforcement Administration', 22]","['Hanoi', 19]","['Il Divo', 17]","['Dargaard', 15]"
A,516.0,History,Culture,Geography,Society,"['Lê dynasty', 15]","['Nguyễn Xí', 9]","['Northern and Southern dynasties (Vietnam)', 7]","['Hoàng Diệu', 6]","['Nguyễn dynasty', 5]","['Cát Tiên archaeological site', 5]","['List of flags of Vietnam', 4]","['Trần dynasty', 3]","['Revival Lê dynasty', 3]","['Mạc Mậu Hợp', 3]"
A.,151.0,Sports,Geography,Lists,Technology,"['Gdańsk Stadium', 4]","['Krzysztof Putra', 3]","['Ergo Arena', 1]","['List of future stadiums', 1]","['List of sports venues by capacity', 1]","['Ulcinj', 1]","['Ciudad Real International Airport', 1]","['Usable fuel', 1]","['Gdańsk Bay', 1]",
A.Garnet,547.0,Politics,History,Religion,Society,"['Turkey', 312]","['Suleiman the Magnificent', 237]","['Northern Cyprus', 174]","['Mustafa Kemal Atatürk', 125]","['Greek genocide', 114]","['Cypriot intercommunal violence', 77]","['Cyprus problem', 59]","['Human rights of Kurdish people in Turkey', 47]","['Turkish invasion of Cyprus', 47]","['Istanbul', 41]"
A.Savin,590.0,Geography,Culture,History,Architecture,"['İzmir', 16]","['Moscow', 13]","['Moscow Metro', 12]","['List of places of worship in Berlin', 8]","['Karachi', 7]","['Topkapı Palace', 7]","['GUM (department store)', 7]","['Anton Chekhov', 7]","['Galle Lighthouse', 6]","['Bayraklı', 6]"
A.Z.,591.0,Law,Health,Government,Society,"['List of federal institutions of Brazil', 79]","['Child sexual abuse', 61]","['2006–2007 Brazilian aviation crisis', 32]","['Pedophile movement', 29]","['Pedophilia', 22]","['Integrin', 21]","['Federal courts of Brazil', 17]","['São Paulo Gay Pride Parade', 16]","['Same-sex marriage in Brazil', 13]","['Supreme Federal Court', 12]"
A1octopus,757.0,Entertainment,Music,Film,Arts,"['Close My Eyes (film)', 32]","['Julianne Regan', 25]","['Fairy Light Nights', 24]","['Mainstream (band)', 20]","['Keepsakes (album)', 17]","['In Demand (song)', 16]","['Daydream (Wallace Collection song)', 16]","['Andy Cousin', 15]","['All About Eve (band)', 14]","['Touched by Jesus', 14]"
A2Kafir,732.0,History,Sports,Education,Military,"['List of purpose-built national capitals', 54]","['Munich massacre', 28]","['Khmer Rouge', 26]","['Michigan', 22]","['Swastika', 21]","['Winged football helmet', 19]","['Meanings of minor planet names: 9001–9500', 18]","['University Liggett School', 17]","['University of Michigan', 17]","['Little Green Footballs', 17]"
A3RO,686.0,Business,Communication,Mass media,Entertainment,"['Jonathan Adler', 50]","['CSB Media Arts Center', 48]","['Paltalk', 37]","['Lyman High School (Florida)', 19]","['BloodRayne (video game)', 16]","['Walt Disney College Program', 16]","['Sam Tsui', 13]","['Flavor of Love season 3', 13]","['Soulja Boy', 11]","['BloodRayne 2', 9]"
A412,1010.0,Gaming,Technology,Board games,Casual games,"[""A Monster's Expedition"", 92]","['PlateUp!', 30]","['Bonfire Peaks', 26]","['Cinnamon challenge', 23]","['Lost Eidolons', 22]","['Earth (board game)', 22]","['G5 Entertainment', 20]","['Railbound', 19]","['Wargroove 2', 18]","['Snakebird (video game)', 16]"
A6Patch,198.0,Health,Medicine,Science,Concepts,"['Health insurance', 3]","['Restless legs syndrome', 2]","['Alternative medicine', 2]","['Health savings account', 2]","['Influenza A virus', 1]","['Glaucoma', 1]","['Allopathic medicine', 1]","[""Ménière's disease"", 1]",,
A7x,604.0,Geography,Lists,Politics,Science,"['2006 Pacific typhoon season', 65]","['List of storms in the 2006 Pacific hurricane season', 52]","['Typhoon Ewiniar (2006)', 27]","['Damien (South Park)', 24]","['Musical ensemble', 18]","['Enlargement of NATO', 14]","['2006 North Indian Ocean cyclone season', 12]","['North Macedonia–NATO relations', 12]","['2011 Atlantic hurricane season', 10]","['2005 Pacific hurricane season', 8]"
A8UDI,675.0,Law,Mass media,Medicine,Nature,"['Cannabis (drug)', 189]","['Cannabis', 139]","['Heroin', 56]","['Marijuana Control, Regulation, and Education Act', 45]","['Effects of cannabis', 40]","['Lady Gaga', 29]","['Cannabis smoking', 27]","['Fox News', 26]","['Medical cannabis', 26]","['Chopped (TV series)', 25]"
A930913,744.0,Entertainment,Food and drink,History,Society,"['Canstruction', 9]","['Intertidal zone', 6]","['Henry Talbot (photographer)', 5]","['J. P. Stevens High School', 5]","['Butler High School (Vandalia, Ohio)', 5]","['The Scorch Trials', 5]","['Invincible (2006 film)', 5]","['Meilin Gray', 5]","['Coventry City F.C.', 4]","['Gaza flotilla raid', 4]"
AA,757.0,Culture,Government,Religion,Technology,"['Biman Bangladesh Airlines', 377]","['Fatima', 224]","['First Solution Money Transfer', 98]","['Hazrat Shahjalal International Airport', 69]","['Air Sylhet', 57]","['Mawlid', 56]","['Five Pillars of Islam', 52]","['Osmani International Airport', 51]","['Ramadan', 46]","['Abu Hanifa', 45]"
AAA!,761.0,Internet,Life,Mass media,Other,"['Goatse.cx', 82]","['The Ronnie Johns Half Hour', 80]","['Uncyclopedia', 58]","['In Soviet Russia', 37]","['Shock site', 24]","['Futurama', 22]","['Lyme disease', 20]","['The Simpsons Movie', 19]","['Jake T. Austin', 17]","['DreamWorks Animation', 16]"
AAAAA,616.0,Academic disciplines,History,Law,Military,"['Dr. Michael M. Krop Senior High School', 123]","['Shining Path', 106]","['Mattress', 101]","['Abimael Guzmán', 91]","['Lipcani', 91]","['Flecainide', 71]","['Bessarabia', 67]","['Internet fraud', 56]","['Bernardo Rivero', 55]","['Zaklików', 54]"
ABCD,801.0,Academics,Information,Internet,Technology,"['Wikipedia', 15]","['List of integrals of trigonometric functions', 15]","['Mammal', 11]","['Alex D. Linz', 7]","['George W. Bush', 7]","['2004 Indian Ocean earthquake and tsunami', 7]","['Gmail', 5]","['RuneScape', 5]","['58 (number)', 5]","['15th century in literature', 4]"
ABF,851.0,Arts,History,Humanities,Nature,"['Newton Faulkner', 11]","['Audra State Park', 10]","['Grasshopper', 10]","['Toussaint Louverture', 9]","['Place', 9]","['Mold', 8]","['Jazz', 8]","['Orkut', 8]","[831, 7]","['Call of Duty: World at War', 7]"
ACupOfCoffee,537.0,Entertainment,History,Knowledge,Media,"['They Might Be Giants', 66]","['List of best-selling albums by year in the United States', 11]","['Scottsboro Boys', 9]","['Larry Norman', 8]","['Winnie the Pooh and a Day for Eeyore', 6]","['The Police', 5]","['David Rakoff', 5]","['Super Mario World', 5]","['Novel', 5]","['Still Be Love in the World', 5]"
ADH10,110.0,,,,,,,,,,,,,,
ADNghiem501,100.0,,,,,,,,,,,,,,
AED,619.0,Health,Medicine,Science,Society,"['Eye surgery', 338]","['Myopia', 244]","['Eye color', 205]","['Eye', 172]","['LASIK', 147]","['Bates method', 139]","['Contact lens', 134]","['Universal health care', 111]","['Publicly funded health care', 98]","['Health insurance', 94]"
AFigureOfBlue,1029.0,Entertainment,Technology,History,Entities,"['Planescape: Torment', 154]","['Ravenloft (module)', 127]","['Gary Gygax', 120]","['Ratchet & Clank Future: A Crack in Time', 119]","['Dungeons & Dragons', 104]","['2011 in downloadable songs for the Rock Band series', 103]","['Neverwinter Nights 2: Mysteries of Westgate', 88]","['Ratchet & Clank: Going Commando', 58]","['List of songs in Green Day: Rock Band', 57]","['Dragon Quest (video game)', 52]"
AFriedman,113.0,,,,,,,,,,,,,,
AGP,299.0,People,Sports,History,Entertainment,"['Vitali Klitschko', 3]","['Death (Discworld)', 3]","['Nikolai Valuev', 3]","['October 8', 2]","['Dmitry Puchkov', 2]","['Rocky Marciano', 2]","['Charles F. Coghlan (actor, born 1896)', 2]","['Buvaisar Saitiev', 1]","[""Beggin'"", 1]","['Charles Coghlan', 1]"
AI,627.0,Politics,Law,Military,Philosophy,"['David S. Touretzky', 75]","['Arnie Lerma', 60]","['Keith Henson', 60]","['Ernst Rüdin', 35]","['MKUltra', 29]","['Brainwashing', 27]","['Aktion T4', 27]","['Sidney Gottlieb', 26]","['Werner Villinger', 23]","['Bosnian genocide', 23]"
AJCham,702.0,Sports,Society,Business,Lists,"['England national football team results (2000–2019)', 94]","['England national football team results (1980–1999)', 81]","['El Clásico', 61]","['List of El Clásico matches', 49]","['Boris Babkin', 26]","['List of chief executive officers', 18]","['England national football team results (1960–1979)', 16]","['Frederick Werema', 13]","['Acromas Holdings', 12]","['For One More Day', 12]"
AKAF,571.0,Technology,Science,Geography,Engineering,"['Scramjet', 72]","['Shock wave', 59]","['Hypersonic speed', 20]","['Australia', 12]","['Sound from ultrasound', 7]","['Glider (sailplane)', 6]","['Scramjet programs', 5]","['HyperSonic Sound', 5]","['Schauenburg Castle (Oberkirch)', 5]","['Engine', 3]"
AKGhetto,657.0,Geography,Culture,Economy,Society,"['Nome, Alaska', 8]","['Adak, Alaska', 7]","['Afognak, Alaska', 7]","['List of boroughs and census areas in Alaska', 7]","['Alaska', 7]","['Fur Rendezvous Festival', 6]","['Akhiok, Alaska', 6]","['Fairbanks, Alaska', 6]","['Allakaket, Alaska', 5]","['Glennallen, Alaska', 5]"
AKMask,654.0,Mass media,Politics,Entertainment,Society,"['List of Friends episodes', 13]","['Republican Moderate Party of Alaska', 13]","['Thane, Juneau', 12]","['List of Stargate SG-1 episodes', 12]","['MF Doom discography', 11]","['Alaska Electric Light & Power', 11]","['Iditarod Trail Sled Dog Race', 11]","['Sean Hannity', 10]","['John Edwards', 9]","['Method Man discography', 9]"
AL2TB,612.0,Transportation,Geography,History,Business,"['U.S. Route 395 in California', 83]","['Interstate 25 in Colorado', 44]","['U.S. Route 199', 38]","['California postmile', 35]","['U.S. Route 395 in Nevada', 34]","['Steven Reineke', 34]","['U.S. Route 6 in California', 33]","['Interstate 5 in California', 31]","['E-470', 29]","['Interstate 29 in South Dakota', 26]"
ALM,100.0,,,,,,,,,,,,,,
ALR,638.0,Military,Government,Concepts,Philosophy,"['Freemasonry', 238]","['Special Air Service', 232]","['Special forces', 127]","['Jahbulon', 122]","['Royal Marines', 119]","['Royal Navy', 93]","['Obligations in Freemasonry', 82]","['ECHELON', 81]","['MI6', 75]","['Special Boat Service', 71]"
ALargeElk,619.0,Health,Sports,Religion,Technology,"['Suicide', 10]","['Cricket in India', 10]","['Holy Prepuce', 9]","['Golf', 9]","['Cornish language', 8]","['Saeculum obscurum', 8]","['Conservative Democratic Alliance', 8]","['Samaritans (charity)', 6]","['Search engine optimization', 5]","['Alternative medicine', 5]"
ALoan,100.0,,,,,,,,,,,,,,
AMK152,909.0,Entertainment,Culture,Lists,Other,"['Bikini Bottom', 761]","['List of SpongeBob SquarePants characters', 565]","['List of SpongeBob SquarePants episodes', 493]","['Krusty Krab', 383]","['SpongeBob SquarePants (character)', 335]","['SpongeBob SquarePants', 294]","['List of 7th Heaven characters', 200]","['Libertarian Party of New York', 159]","['Patrick Star', 141]","['Timeline of Lego', 140]"
AMbroodEY,557.0,History,People,Religion,Politics,"['Shivaji', 47]","['Maratha (caste)', 37]","['Battle of Patan', 35]","['2006 Aligarh riots', 22]","['Partition of India', 20]","['Indira Gandhi', 15]","['Sambhaji', 13]","['Romani people', 12]","['Hinduism in the United Kingdom', 11]","['Khalistan movement', 10]"
ANNAfoxlover,605.0,Entertainment,Internet,Mass media,Lists,"['List of Cars characters', 128]","['Cars (film)', 60]","['Cuteness', 32]","['Lightning McQueen', 22]","['Google logo', 21]","['North American Vexillological Association', 17]","['Toy Story', 14]","['Yes and no', 14]","['Sid Phillips', 13]","['WALL-E', 12]"
AP1787,822.0,Technology,Military,Government,Engineering,"['Stargate (device)', 23]","['National Audio-Visual Conservation Center', 20]","['Palpatine', 16]","['List of Earth starships in Stargate', 13]","['Cherokee High School (New Jersey)', 10]","['Thomas Worthington (governor)', 10]","['USS New Jersey (BB-62)', 10]","['George M. Chilcott', 9]","['CV2', 7]","['Nike Missile Site PH-32', 7]"
APclark,505.0,Television,Fictional characters,Lists,Family,"['List of recurring The Simpsons characters', 10]","['List of animals in The Simpsons', 6]","['Kearney Zzyzwicz', 5]","['The Story of Tracy Beaker', 5]","['Flanders family', 4]","[""BBC Children's and Education"", 4]","['Reverend Lovejoy', 4]","['Asterix and the Cauldron', 3]","['Simpson family', 3]","['Asterix and the Big Fight', 3]"
ARBAY,102.0,,,,,,,,,,,,,,
ARUNKUMAR,0.0,,,,,,,,,,,,,,
ASCIIn2Bme,763.0,Concepts,History,War,Philosophy,"['William Muir', 80]","['Roger Bacon', 64]","['Muhammad', 63]","['Gunpowder', 59]","['Rape of Belgium', 35]","['Battle of Jerez', 34]","['M. M. Pattison Muir', 34]","['Edmund Oscar von Lippmann', 32]","['John Maxson Stillman', 31]","['Corrections', 31]"
ATren,615.0,Science,Sports,Technology,People,"['Personal rapid transit', 258]","['C++', 52]","['Fred Singer', 33]","['Buffalo Sabres', 30]","['William M. Gray', 21]","['Lawrence Solomon', 19]","['Ted Frank', 19]","['RealClimate', 18]","['John Madden', 15]","['Maglev', 15]"
AVand,717.0,Law,Philosophy,Disease,Conflict,"['Police of Denmark', 7]","['Jeremy Bentham', 5]","['Maphou', 5]","['Kenneth Bager', 5]","['Mobile phone', 4]","['Big Bite', 4]","['Seaweed', 4]","['Jenilca Giusti', 4]","['Disease', 4]","['Iraq War', 4]"
AWeenieMan,679.0,Education,Technology,Entertainment,Television,"['List of Brown University buildings', 91]","['Brown University', 33]","['IPv4 address exhaustion', 18]","['Il Divo', 6]","['Athol Public Library (Massachusetts)', 5]","['Davis v. Commissioner', 5]","['Juvies (TV series)', 4]","['1987 CART PPG Indy Car World Series', 4]","['List of Major League Baseball players named in the Mitchell Report', 4]","['NBC Sports California', 4]"
AWilliamson,419.0,Religion,History,Occultism,People,"['Joan of Arc', 65]","['Cross-dressing', 10]","['Gilles de Rais', 8]","[""Jacques d'Arc"", 7]","['List of occultists', 6]","['May 30', 4]","['Margaret Murray', 3]","['List of gay, lesbian or bisexual people', 2]","['Witch trial (disambiguation)', 1]","['Kardecist spiritism', 1]"
Aarem,676.0,Geography,Culture,People,Entertainment,"['Thiruvananthapuram', 366]","['Kerala', 137]","['Kochi', 122]","['Technopark, Trivandrum', 65]","['Prithviraj Sukumaran', 48]","['Mammootty', 46]","['Culture of Thiruvananthapuram', 43]","['List of people from Thiruvananthapuram', 41]","['Thiruvananthapuram Central railway station', 37]","['Thiruvananthapuram district', 36]"
Aarktica,736.0,Military,Security,Sports,Biography,"['101 Battalion (South Africa)', 20]","['AS2', 12]","['Cognitive behavioral therapy', 7]","['Common Criteria', 7]","['Swaar Metaal', 6]","['World Eskimo Indian Olympics', 6]","['Capoeira', 6]","['Adolf Slaby', 5]","['Yelavarthy Nayudamma', 5]","['Haidar Abdel-Shafi', 5]"
Aaron,626.0,Mass media,Geography,Entertainment,,"['Fox News', 61]","['CNN', 44]","['524 East 72nd Street', 24]","['Sago Mine disaster', 18]","['MSNBC', 17]","['Huntington, West Virginia', 11]","['Metropolitan Opera Radio (Sirius XM)', 11]","['Associated Press', 10]","['The CW', 9]","['2006 New York City Cirrus SR20 crash', 8]"
AaronS,612.0,Philosophy,History,Society,Politics,"['Anarchism', 246]","['New England', 193]","['Anarcho-capitalism', 81]","['Individualist anarchism', 77]","['Anarchism in the United States', 47]","['Boston', 41]","['Massachusetts', 37]","['Merrimac, Massachusetts', 37]","['Anarchism and anarcho-capitalism', 21]","['Dartmouth College', 16]"
AaronY,950.0,History,Sports,People,Culture,"['Pre-Code Hollywood', 1192]","['Lawrence Taylor', 1133]","['History of the New York Giants', 1033]","['Michael Jordan', 763]","['Minority Report (film)', 747]","['History of the New York Giants (1925–1978)', 680]","['Hakeem Olajuwon', 617]","['History of the New York Giants (1979–1993)', 459]","['Dwyane Wade', 427]","['John Kennedy Toole', 414]"
Aaronbrick,673.0,People,Culture,Music,Language,"['Lord Buckley', 19]","['MyWikiBiz', 17]","['World Domination Recordings', 13]","['Reggie Rockstone', 12]","['Low Pop Suicide', 11]","['Dennis Peron', 8]","['Santa Cruz, California', 8]","['New York City Cabaret Card', 8]","['Mission Street', 7]","['Spanish profanity', 7]"
Aaroncrick,643.0,Sports,Geography,Entertainment,,"['Ricky Ponting', 870]","['Launceston, Tasmania', 704]","['York Park', 678]","['Tim Paine', 199]","['Bangladeshi cricket team in Australia in 2003', 146]","['Joel Selwood', 127]","['Ricky Ponting with the Australian cricket team in India in 2008–09', 119]","['Launceston Airport', 109]","['List of international cricket centuries by Ricky Ponting', 98]","['Early life of Ricky Ponting', 95]"
